List;Item;ItemType;Sentence;Familiarity_young;Familiarity_old;Literality;CondTarget;CondOther;IdiomType;Timing_verb;Timing_noun_mid;Timing_noun_last;SentLength
1;21;experimental;Toen legde hij haar in de watten.;4,86;5,00;4,07;figuurlijk;ongerelateerd;two-noun;325;NA;1650;2208
2;21;experimental;Toen legde hij haar in de watten.;4,86;5,00;4,07;figuurlijk;letterlijk;two-noun;325;NA;1650;2208
1;22;experimental;Toen liep haar het water in de mond.;4,93;4,89;4,44;figuurlijk;ongerelateerd;three-noun;251;845;1393;1855
2;22;experimental;Toen liep haar het water in de mond.;4,93;4,89;4,44;figuurlijk;letterlijk;three-noun;251;845;1393;1855
1;23;experimental;Toen liep hij naast zijn schoenen.;4,68;4,90;3,46;figuurlijk;ongerelateerd;two-noun;231;NA;1141;1696
2;23;experimental;Toen liep hij naast zijn schoenen.;4,68;4,90;3,46;figuurlijk;letterlijk;two-noun;231;NA;1141;1696
1;24;experimental;Toen liep hij tegen de lamp.;4,58;4,85;4,87;figuurlijk;ongerelateerd;two-noun;238;NA;1194;1743
2;24;experimental;Toen liep hij tegen de lamp.;4,58;4,85;4,87;figuurlijk;letterlijk;two-noun;238;NA;1194;1743
1;25;experimental;Toen maakte zij van een mug een olifant.;4,88;4,90;1,18;figuurlijk;ongerelateerd;three-noun;245;1270;1726;2450
2;25;experimental;Toen maakte zij van een mug een olifant.;4,88;4,90;1,18;figuurlijk;letterlijk;three-noun;245;1270;1726;2450
1;26;experimental;Toen schoot hij uit zijn slof.;4,74;4,85;3,44;figuurlijk;ongerelateerd;two-noun;194;NA;1161;1683
2;26;experimental;Toen schoot hij uit zijn slof.;4,74;4,85;3,44;figuurlijk;letterlijk;two-noun;194;NA;1161;1683
1;27;experimental;Toen sloeg hij haar aan de haak.;4,82;5,00;3,39;figuurlijk;ongerelateerd;two-noun;190;NA;1296;1780
2;27;experimental;Toen sloeg hij haar aan de haak.;4,82;5,00;3,39;figuurlijk;letterlijk;two-noun;190;NA;1296;1780
1;28;experimental;Toen speelde ze de sterren van de hemel.;4,90;4,90;1,19;figuurlijk;ongerelateerd;three-noun;205;1016;1812;2312
2;28;experimental;Toen speelde ze de sterren van de hemel.;4,90;4,90;1,19;figuurlijk;letterlijk;three-noun;205;1016;1812;2312
1;29;experimental;Toen stak hij de handen uit de mouwen.;4,89;5,00;4,82;figuurlijk;ongerelateerd;three-noun;204;808;1440;2037
2;29;experimental;Toen stak hij de handen uit de mouwen.;4,89;5,00;4,82;figuurlijk;letterlijk;three-noun;204;808;1440;2037
1;30;experimental;Toen stond ze in vuur en vlam.;4,79;4,89;3,87;figuurlijk;ongerelateerd;three-noun;219;817;1375;1822
2;30;experimental;Toen stond ze in vuur en vlam.;4,79;4,89;3,87;figuurlijk;letterlijk;three-noun;219;817;1375;1822
1;31;experimental;Toen stond hij in zijn hemd.;4,13;4,74;4,85;figuurlijk;ongerelateerd;two-noun;200;NA;1124;1584
2;31;experimental;Toen stond hij in zijn hemd.;4,13;4,74;4,85;figuurlijk;letterlijk;two-noun;200;NA;1124;1584
1;32;experimental;Toen tastte ze in het duister.;4,73;5,00;4,36;figuurlijk;ongerelateerd;two-noun;338;NA;1247;1831
2;32;experimental;Toen tastte ze in het duister.;4,73;5,00;4,36;figuurlijk;letterlijk;two-noun;338;NA;1247;1831
1;33;experimental;Toen viel hij door de mand.;5,00;5,00;3,45;figuurlijk;ongerelateerd;two-noun;193;NA;984;1508
2;33;experimental;Toen viel hij door de mand.;5,00;5,00;3,45;figuurlijk;letterlijk;two-noun;193;NA;984;1508
1;34;experimental;Toen voelde hij hem aan de tand.;4,45;4,80;4,40;figuurlijk;ongerelateerd;two-noun;212;NA;1459;1934
2;34;experimental;Toen voelde hij hem aan de tand.;4,45;4,80;4,40;figuurlijk;letterlijk;two-noun;212;NA;1459;1934
1;35;experimental;Toen was hij met zijn hoofd in de wolken.;4,90;4,86;2,81;figuurlijk;ongerelateerd;three-noun;207;935;1500;2045
2;35;experimental;Toen was hij met zijn hoofd in de wolken.;4,90;4,86;2,81;figuurlijk;letterlijk;three-noun;207;935;1500;2045
1;36;experimental;Toen zat ze bij de pakken neer.;4,68;5,00;3,22;figuurlijk;ongerelateerd;two-noun;220;NA;948;1680
2;36;experimental;Toen zat ze bij de pakken neer.;4,68;5,00;3,22;figuurlijk;letterlijk;two-noun;220;NA;948;1680
1;37;experimental;Toen zat hij hem op de hielen.;4,82;4,90;3,13;figuurlijk;ongerelateerd;two-noun;231;NA;1175;1643
2;37;experimental;Toen zat hij hem op de hielen.;4,82;4,90;3,13;figuurlijk;letterlijk;two-noun;231;NA;1175;1643
1;38;experimental;Toen zat hij in de put.;4,77;4,90;4,49;figuurlijk;ongerelateerd;two-noun;223;NA;973;1342
2;38;experimental;Toen zat hij in de put.;4,77;4,90;4,49;figuurlijk;letterlijk;two-noun;223;NA;973;1342
1;39;experimental;Toen zette hij haar in het zonnetje.;4,77;4,90;4,16;figuurlijk;ongerelateerd;two-noun;250;NA;1329;1970
2;39;experimental;Toen zette hij haar in het zonnetje.;4,77;4,90;4,16;figuurlijk;letterlijk;two-noun;250;NA;1329;1970
1;40;experimental;Toen zette zij hem op zijn nummer.;4,45;4,90;2,15;figuurlijk;ongerelateerd;two-noun;256;NA;1285;1804
2;40;experimental;Toen zette zij hem op zijn nummer.;4,45;4,90;2,15;figuurlijk;letterlijk;two-noun;256;NA;1285;1804
1;41;control;Toen voerde hij de ganzen.;;;;control;control;two-noun;208;NA;880;1550
2;41;control;Toen verjaagde hij de ganzen.;;;;control;control;two-noun;294;NA;1327;1961
1;42;control;Toen woog ze een tros bananen.;;;;control;control;two-noun;258;NA;1135;1735
2;42;control;Toen pakte ze een tros bananen.;;;;control;control;two-noun;364;NA;1487;2122
1;43;control;Toen smeerde hij een boterham.;;;;control;control;two-noun;230;NA;1157;1813
2;43;control;Toen at hij een boterham.;;;;control;control;two-noun;248;NA;839;1495
